PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona_Renta;REV_Garantia;Averia_grave;QUEJA_CAC;EDAD_COCHE;COSTE_VENTA;km_anno;Revisiones;Edad Cliente
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Alto;SI;Averia muy grave;SI;2;2036;6847;1;23
A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Baleares;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;9;3239;10025;1;39
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Baleares;SI;NO;SI;Otros;NO DATA;Averia muy grave;SI;8;1781;0;1;26
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Gerona;SI;NO;NO;Alto;NO DATA;Averia muy grave;SI;5;2495;0;0;28
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;EN PAREJA;F;Empresa;Barcelona;SI;NO;NO;Alto;NO DATA;No;NO;3;4312;0;2;28
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;EN PAREJA;F;Empresa;Barcelona;SI;NO;NO;Alto;SI;Averia muy grave;SI;14;2257;10339;2;53
A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Alto;NO DATA;Averia leve;NO;4;2275;0;1;22
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Baleares;SI;NO;NO;Medio;NO DATA;No;NO;1;2495;0;0;27
A;TIPO1;FUEL 1;Baja;M;Financiera Banco;CASADO;M;Empresa;Barcelona;NO;NO;NO;Medio;NO DATA;No;NO;14;1781;0;0;18
A;TIPO1;FUEL 1;Baja;M;Financiera Banco;CASADO;F;Empresa;Barcelona;NO;NO;NO;Otros;NO DATA;Averia leve;NO;8;1781;0;1;31
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Otros;NO DATA;Averia leve;NO;18;2036;0;2;23
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Lacoruna;NO;NO;SI;Medio;NO DATA;Averia grave;NO;9;2671;0;2;29
A;TIPO1;FUEL 1;Baja;M;Otros;OTROS;M;Empresa;Tarragona;NO;NO;NO;Alto;SI;Averia muy grave;SI;6;1030;22763;2;46
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Madrid;NO;NO;NO;Alto;SI;No;NO;14;1030;3326;1;41
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Las Palmas;SI;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;19;2242;0;2;29
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Gerona;SI;NO;NO;Alto;NO DATA;No;NO;13;1747;0;1;19
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Baleares;SI;NO;SI;Otros;NO DATA;Averia grave;NO;2;1781;0;0;18
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Funcionario;Madrid;SI;NO;NO;Medio;NO DATA;No;NO;16;3239;0;2;28
A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Ciudad Real;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;12;2473;0;2;32
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Barcelona;SI;NO;NO;Medio;SI;No;NO;7;4312;6988;2;54
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Valencia;SI;NO;NO;Medio;NO DATA;Averia muy grave;SI;15;2257;0;2;23
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;12;1781;0;2;24
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;No;NO;7;1541;0;2;29
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Granada;NO;NO;SI;Otros;NO DATA;No;NO;17;2429;0;1;22
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Sevilla;SI;NO;NO;Alto;NO DATA;Averia muy grave;SI;4;5286;0;2;31
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Medio;NO DATA;Averia leve;NO;10;1541;0;1;25
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Medio;SI;No;NO;3;2257;20292;2;45
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;Averia grave;NO;13;1541;0;1;20
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Gerona;NO;NO;SI;Otros;NO DATA;No;NO;7;2429;0;1;31
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia grave;NO;4;3599;0;2;30
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Barcelona;NO;NO;NO;Medio;NO DATA;Averia leve;NO;3;2502;0;1;28
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;9;2036;5439;2;25
A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;F;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Alto;NO DATA;Averia grave;NO;2;2036;0;2;29
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Guipuzcua;SI;NO;SI;Alto;SI;No;NO;18;1541;2385;2;20
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Medio;NO DATA;No;NO;11;2036;0;2;31
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Pontevedra;SI;NO;NO;Medio;SI;No;NO;1;4312;9204;2;52
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Sevilla;NO;NO;SI;Otros;NO DATA;Averia grave;NO;13;2429;0;1;23
A;TIPO1;FUEL 1;Baja;M;Otros;OTROS;F;Empresa;Guipuzcua;NO;NO;NO;Alto;SI;Averia muy grave;SI;17;2905;6385;2;46
A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Cuenca;NO;NO;NO;Medio-Bajo;SI;Averia leve;NO;1;1541;4727;1;39
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Gerona;SI;NO;NO;Medio;SI;No;NO;11;2257;13954;1;48
A;TIPO1;FUEL 1;Baja;M;Contado;OTROS;F;Empresa;Valencia;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;13;1541;0;1;18
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Malaga;SI;NO;NO;Alto;SI;Averia leve;SI;13;3239;8957;2;48
A;TIPO1;FUEL 1;Baja;M;Financiera Banco;CASADO;M;Empresa;Pontevedra;SI;NO;NO;Otros;SI;Averia leve;NO;19;1030;8398;1;39
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;19;4312;0;1;30
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Zaragoza;SI;NO;NO;Alto;NO DATA;Averia leve;SI;13;2257;0;1;24
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Alicante;SI;NO;NO;Otros;NO DATA;No;NO;9;2495;0;1;30
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Zaragoza;SI;NO;NO;Alto;NO DATA;Averia muy grave;SI;16;2495;0;0;23
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Pontevedra;SI;NO;NO;Otros;NO DATA;Averia grave;NO;11;3239;0;1;25
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Medio;SI;Averia muy grave;SI;4;2257;22013;1;50
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Cadiz;SI;NO;NO;Medio-Bajo;NO DATA;Averia leve;NO;12;3599;0;2;23
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;2;2751;0;2;23
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Baleares;SI;NO;NO;Otros;NO DATA;No;NO;13;1781;0;1;25
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Baleares;NO;NO;NO;Alto;NO DATA;No;NO;5;1781;0;1;28
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Barcelona;SI;NO;SI;Alto;NO DATA;No;NO;1;1541;0;1;18
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Tarragona;NO;NO;SI;Medio-Bajo;NO DATA;Averia muy grave;SI;16;2429;0;1;25
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Barcelona;NO;NO;NO;Alto;SI;Averia muy grave;SI;11;1541;10867;2;55
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Valencia;SI;NO;NO;Medio-Bajo;SI;No;NO;3;3239;14018;2;21
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Otros;NO DATA;Averia muy grave;SI;4;2751;0;2;21
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Valencia;NO;NO;NO;Medio;NO DATA;No;NO;13;1541;0;1;25
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Granada;SI;NO;SI;Medio;NO DATA;No;SI;18;1541;0;2;30
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Alicante;SI;NO;NO;Otros;NO DATA;Averia leve;NO;7;3239;0;1;31
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Malaga;SI;NO;NO;Otros;SI;Averia muy grave;SI;12;2257;7996;2;55
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Murcia;SI;NO;NO;Medio-Bajo;SI;Averia leve;NO;11;2257;14705;1;59
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Gerona;NO;NO;NO;Medio;NO DATA;Averia muy grave;SI;15;1541;0;2;28
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Madrid;NO;NO;NO;Alto;SI;Averia grave;NO;16;1541;13817;1;53
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Ciudad Real;SI;NO;NO;Medio;NO DATA;Averia muy grave;SI;3;2257;0;2;20
A;TIPO1;FUEL 1;Baja;M;Contado;EN PAREJA;F;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia leve;NO;19;1541;0;2;29
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;15;1781;0;1;30
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;OTROS;M;Empresa;Gerona;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;17;2495;0;0;21
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;SI;No;NO;12;2257;10152;1;31
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Madrid;SI;NO;NO;Medio;NO DATA;No;NO;14;2257;0;2;30
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Valencia;NO;NO;NO;Medio;SI;Averia muy grave;SI;19;1541;28763;2;57
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Pontevedra;SI;NO;SI;Otros;NO DATA;No;NO;13;4572;0;1;21
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Funcionario;Guipuzcua;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;1;3239;5487;2;59
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Otros;NO DATA;Averia muy grave;SI;15;2990;0;2;19
A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Guipuzcua;NO;NO;NO;Otros;SI;Averia leve;NO;5;1541;20641;1;44
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Zaragoza;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;7;1541;0;2;23
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Madrid;SI;NO;NO;Medio;NO DATA;Averia muy grave;SI;8;2257;0;1;23
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;15;4312;0;1;24
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Medio;NO DATA;No;NO;15;5055;0;2;22
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Sevilla;SI;NO;SI;Otros;NO DATA;No;SI;19;1781;0;1;30
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Sevilla;SI;NO;SI;Otros;NO DATA;Averia muy grave;SI;6;1781;0;1;30
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Pontevedra;SI;NO;NO;Alto;SI;No;NO;15;2257;6892;1;49
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Valladolid;NO;NO;NO;Alto;NO DATA;No;SI;10;1541;0;1;22
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Valencia;NO;NO;SI;Medio-Bajo;NO DATA;No;NO;1;2429;0;1;32
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Navarra;SI;NO;NO;Alto;SI;No;NO;4;3599;45859;0;40
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;6;1541;0;1;32
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Cadiz;NO;NO;SI;Otros;NO DATA;No;NO;11;0;0;0;25
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Zaragoza;NO;NO;NO;Otros;NO DATA;No;NO;4;1781;0;1;27
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Las Palmas;NO;NO;SI;Otros;NO DATA;No;NO;17;2924;0;1;31
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Tarragona;SI;NO;NO;Medio;SI;No;NO;7;2257;16886;1;46
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Barcelona;NO;NO;NO;Otros;NO DATA;No;NO;18;1781;0;1;29
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Albacete;NO;NO;SI;Medio;NO DATA;No;NO;9;2671;0;1;20
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Baleares;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;4;2905;0;1;25
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Baleares;SI;NO;SI;Otros;NO DATA;Averia muy grave;SI;14;2429;0;1;22
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;SI;Alto;SI;No;NO;17;2905;26134;1;55
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Madrid;NO;NO;SI;Alto;NO DATA;No;NO;2;2429;0;0;28
A;TIPO1;FUEL 1;Baja;M;Financiera Banco;CASADO;M;Empresa;Barcelona;NO;NO;NO;Otros;SI;No;NO;3;2905;10337;1;61
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Castellon;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;2;2495;0;1;19
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Barcelona;NO;NO;SI;Alto;NO DATA;Averia muy grave;SI;8;2429;0;2;23
A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia grave;NO;11;2905;0;0;29
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Santa Cruz de Tenerife;NO;NO;SI;Medio;NO DATA;No;NO;12;2924;0;1;25
A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Zaragoza;NO;NO;NO;Medio;NO DATA;No;NO;19;2905;0;2;24
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Baleares;NO;NO;SI;Alto;NO DATA;No;NO;13;2429;0;2;26
A;TIPO1;FUEL 1;Baja;M;Financiera Banco;SOLTERO;F;Empresa;Barcelona;SI;NO;NO;Alto;NO DATA;No;NO;1;3239;0;1;25
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Baleares;SI;NO;SI;Alto;NO DATA;No;NO;1;1541;0;1;18
A;TIPO1;FUEL 1;Baja;M;Financiera Banco;CASADO;M;Empresa;Barcelona;SI;NO;NO;Alto;SI;No;NO;12;1541;18475;1;37
A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Funcionario;Santa Cruz de Tenerife;SI;NO;NO;Medio;NO DATA;No;NO;4;2751;0;2;18
